Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.13,1333,0.130673463,257,225,217,1,233,0.083986998
101,0.13,1291,0.12655622,267,225,227,1,239,0.057908297
101,0.13,1351,0.132437996,268,225,223,1,237,0.059848309
101,0.13,1288,0.126262131,251,223,223,1,225,0.067745924
101,0.13,1378,0.135084796,285,233,231,1,257,0.077284575
101,0.13,1359,0.133222233,279,231,229,1,245,0.099830627
101,0.13,1333,0.130673463,252,215,211,1,221,0.068539381
101,0.13,1355,0.132830115,245,219,219,1,223,0.057911158
101,0.13,1304,0.127830605,307,251,239,1,273,0.06957221
101,0.13,1355,0.132830115,287,227,225,1,247,0.108902454
101,0.13,1278,0.125281835,266,219,219,1,237,0.063190222
101,0.13,1342,0.13155573,263,233,221,1,235,0.060870886
101,0.13,1320,0.129399079,285,241,227,1,255,0.074531078
101,0.13,1325,0.129889227,276,233,221,1,245,0.080072403
101,0.13,1250,0.122537006,286,229,229,1,253,0.073693752
101,0.13,1339,0.131261641,267,217,217,1,241,0.06854701
101,0.13,1280,0.125477894,248,219,219,1,225,0.053984642
101,0.13,1342,0.13155573,273,225,213,1,241,0.093223572
101,0.13,1348,0.132143907,291,225,223,1,259,0.097890615
101,0.13,1329,0.130281345,262,225,221,1,235,0.065821648
101,0.13,1289,0.126360161,256,219,219,1,229,0.080513954
101,0.13,1300,0.127438486,271,229,225,1,241,0.09513855
101,0.13,1314,0.128810901,268,229,225,1,241,0.071544409
101,0.13,1309,0.128320753,249,219,215,1,225,0.065040112
101,0.13,1328,0.130183315,263,217,215,1,239,0.070495844
101,0.13,1349,0.132241937,283,227,227,1,249,0.092433929
101,0.13,1304,0.127830605,255,219,215,1,227,0.076550484
101,0.13,1338,0.131163611,3,,,0,,0.012964725
101,0.13,1304,0.127830605,248,219,219,1,227,0.105050325
101,0.13,1373,0.134594648,267,231,231,1,237,0.06957984
101,0.13,1367,0.13400647,271,227,215,1,241,0.083356619
101,0.13,1315,0.12890893,289,225,223,1,257,0.111798286
101,0.13,1307,0.128124694,279,225,219,1,241,0.126457214
101,0.13,1341,0.1314577,263,223,221,1,233,0.065534592
101,0.13,1297,0.127144398,244,215,215,1,223,0.056904554
101,0.13,1332,0.130575434,278,221,221,1,239,0.082122803
101,0.13,1340,0.131359671,291,231,223,1,255,0.106761217
101,0.13,1336,0.130967552,262,227,227,1,247,0.056918621
101,0.13,1387,0.135967062,265,233,235,1,239,0.057911634
101,0.13,1329,0.130281345,275,231,225,1,245,0.079538345
101,0.13,1328,0.130183315,252,219,219,1,225,0.056876659
101,0.13,1302,0.127634546,277,229,221,1,247,0.065876961
101,0.13,1364,0.133712381,242,213,213,1,219,0.05685854
101,0.13,1393,0.13655524,262,223,219,1,229,0.069568634
101,0.13,1372,0.134496618,284,235,235,1,249,0.105797291
101,0.13,1265,0.12400745,254,221,215,1,231,0.081426144
101,0.13,1289,0.126360161,299,235,233,1,265,0.083543777
101,0.13,1325,0.129889227,281,235,237,1,249,0.050691843
101,0.13,1339,0.131261641,246,221,219,1,223,0.057852268
101,0.13,1334,0.130771493,253,221,215,1,227,0.078638077
101,0.13,1342,0.13155573,288,237,237,1,255,0.084458113
101,0.13,1296,0.127046368,299,237,233,1,263,0.10399127
101,0.13,1359,0.133222233,274,227,215,1,247,0.084193945
101,0.13,1358,0.133124204,264,229,221,1,235,0.055923939
101,0.13,1385,0.135771003,269,225,227,1,239,0.063890934
101,0.13,1322,0.129595138,297,241,231,1,261,0.090147257
101,0.13,1335,0.130869523,266,221,221,1,239,0.072563887
101,0.13,1279,0.125379865,265,227,227,1,235,0.070996523
101,0.13,1379,0.135182825,3,,,0,,0.008009195
101,0.13,1346,0.131947848,261,227,227,1,233,0.065822363
101,0.13,1336,0.130967552,268,225,225,1,243,0.060880423
101,0.13,1321,0.129497108,262,225,225,1,235,0.070520401
101,0.13,1347,0.132045878,256,219,215,1,229,0.060336351
101,0.13,1284,0.125870013,278,227,219,1,241,0.10078454
101,0.13,1309,0.128320753,236,209,209,1,217,0.054819822
101,0.13,1335,0.130869523,245,215,215,1,225,0.064538717
101,0.13,1319,0.129301049,278,215,215,1,247,0.075553656
101,0.13,1313,0.128712871,256,225,225,1,231,0.059840441
101,0.13,1315,0.12890893,268,231,231,1,237,0.070810318
